42,42.8,391024.43938716187
41,41.7,391023.2023280397
40,40.7,391022.1074387886
39,39.7,391020.843235558
38,38.7,391019.756200824
37,37.7,391018.52854780824
36,36.6,391017.3981559377
35,35.6,391016.15533542866
34,34.6,391015.04358576937
33,33.6,391013.7822591318
32,32.6,391012.6690859955
31,31.6,391011.4215120779
30,30.5,391010.144267284
29,29.5,391009.0211873864
28,28.5,391007.72578299517
27,27.5,391006.58830684156
26,26.5,391005.3387879763
25,25.5,391004.17602446047
24,24.4,391002.8947598638
23,23.4,391001.75378892274
22,22.4,391000.4620515969
21,21.4,390999.3022266577
20,20.4,390997.9815461027
19,19.4,390996.83614630025
18,18.3,390995.52598722145
17,17.3,390994.35078646755
16,16.3,390993.0439607934
15,15.3,390991.8925800479
14,14.3,390990.5627080007
13,13.3,390989.3908321848
12,12.2,390988.0517820925
11,11.2,390986.87382590666
10,10.3,390985.56787090714
9,9.2,390984.3628653733
